tapped_wt,pouring_wt,last_heel_metal,lcrca_addition_1,sg_pigaddition_1,sg_pigaddition_2,rr,graphite,silicon_addition_1,silicon_addition_2,mn,low_re_fsm,zero_re_fsm,high_re_fsm,ultraseed,superseed,cs,al,preseed,tapping_temp,pouring_temp,pouring_time_sec,fsm,barinoc,reseed,sb,bath_s,crca,sg_pig,sorel_total,sorel_addition,rr_1,heel,ce,c,si,mn_1,p,s,cr,ni,al_1,cu,co,nb,ti,v,w,pb,sn,as,zr,ce_1,sb_1,b,zn,n,fe,fsmaddition_mt,mg_recovery,defect,feat_ce_calculated,feat_ce_hypo_risk,feat_ce_hyper_risk,feat_ce_optimal,feat_temp_loss,feat_temp_loss_risk,feat_temp_loss_low,feat_pouring_stability,feat_pouring_risk,feat_oxidation_risk,feat_graphitization_index,feat_white_iron_risk,feat_shrinkage_risk_index,feat_gas_risk_index,feat_chemistry_instability,feat_chemistry_ok
4.2,3.8,0.0,1630.0,690.0,0.0,2080.0,15.0,5.0,2.0,0.0,42.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,1435.0,1370.0,81.0,1.0,0.405,0.0,0.7350000000000001,0.017,36.0,15.0,0.0,0.0,46.0,0.0,4.16,3.65,1.97,0.16,0.0341,0.0089,0.0141,0.0073,0.0061,0.0176,0.0025,0.00092,0.021,0.0049,0.002,0.0018,0.0018,0.0026,0.0013,0.0032,0.0031,0.00056,0.0015,0.0027,94.0,10.0,0.0035,1,4.16,1,0,0,65.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
7.8,7.8,0.0,3280.0,1020.0,0.0,3340.0,140.0,0.0,28.0,0.0,86.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1430.0,1369.0,101.0,1.1,0.41,0.0,0.7350000000000001,0.0249,41.0,13.0,150.0,2.0,44.0,0.0,4.16,3.65,1.96,0.183,0.0362,0.0099,0.0162,0.0082,0.0068,0.0393,0.0021,0.0015,0.0186,0.0051,0.0021,0.0018,0.002,0.0028,0.0013,0.0036,0.0031,0.00083,0.00086,0.0039,94.0,11.03,0.0038,1,4.16,1,0,0,61.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
7.8,7.8,0.0,3180.0,1170.0,0.0,3450.0,140.0,32.0,8.0,0.0,86.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1435.0,1367.0,75.0,1.1,0.41,0.0,0.7350000000000001,0.0249,41.0,15.0,0.0,0.0,44.0,0.0,4.2,3.69,1.97,0.168,0.0365,0.0095,0.0137,0.0088,0.0061,0.0145,0.0022,0.0014,0.019,0.0049,0.0023,0.0019,0.0019,0.0031,0.0015,0.0037,0.0031,0.00082,0.00062,0.0021,94.0,11.03,0.0039,1,4.2,0,0,1,68.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
15.8,14.8,0.0,6340.0,4110.0,0.0,2380.0,160.0,222.0,28.0,0.0,92.0,0.0,0.0,21.0,0.0,0.0,0.0,20.0,1451.0,1382.0,122.0,1.15,0.405,0.0,0.7350000000000001,0.018,40.0,38.0,0.0,0.0,20.0,0.0,4.18,3.18,3.95,0.195,0.0324,0.0061,0.0147,0.0075,0.0123,0.0233,0.0025,0.00095,0.0284,0.0052,0.0049,0.0015,0.0029,0.0013,0.0025,0.0016,0.0031,0.00078,0.0016,0.0074,92.5,11.52,0.0032,1,4.18,1,0,0,69.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
3.7,3.4,0.0,720.0,390.0,0.0,590.0,36.0,5.0,0.0,0.0,38.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,1439.0,1375.0,72.0,1.03,0.405,0.0,0.7350000000000001,0.019,30.0,10.0,0.0,0.0,15.0,0.0,4.22,3.73,1.91,0.145,0.0346,0.0094,0.0153,0.0069,0.0063,0.0193,0.0022,0.00058,0.0114,0.0052,0.0023,0.0018,0.0017,0.003,0.0013,0.0035,0.0031,0.0011,0.00073,0.0025,94.0,10.27,0.0037,1,4.22,0,0,1,64.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
18.0,16.7,0.0,6560.0,4110.0,0.0,5720.0,316.0,130.0,25.0,0.0,179.0,0.0,0.0,21.0,0.0,0.0,0.0,20.0,1437.0,1372.0,183.0,1.3,0.5,0.0,0.7350000000000001,0.018,43.0,21.0,1470.0,5.0,30.0,0.0,4.27,3.76,1.97,0.171,0.0381,0.007,0.0167,0.008,0.0092,0.0334,0.0024,0.0016,0.0187,0.0051,0.0022,0.0017,0.002,0.0034,0.0026,0.0025,0.0031,0.00074,0.00063,0.0051,93.9,13.04,0.0027,1,4.27,0,0,1,65.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
3.5,3.5,0.0,1510.0,640.0,0.0,940.0,66.0,18.0,0.0,0.0,36.0,0.0,0.0,5.1,0.0,0.0,0.0,4.0,1437.0,1369.0,56.0,1.03,0.4,0.0,0.7350000000000001,0.017,42.0,18.0,0.0,0.0,40.0,0.0,4.13,3.6,2.06,0.175,0.0392,0.0087,0.018,0.0087,0.0063,0.4095,0.0025,0.0026,0.0228,0.0047,0.0023,0.0018,0.002,0.0032,0.0021,0.0033,0.0031,0.00153,0.006,0.0044,93.3,10.29,0.0037,1,4.13,1,0,0,68.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
13.0,12.5,0.0,5550.0,2450.0,0.0,3850.0,255.0,75.0,0.0,0.0,160.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1433.0,1369.0,154.0,1.23,0.4,0.0,0.7350000000000001,0.025,43.0,19.0,620.0,5.0,34.0,0.0,4.26,3.74,2.01,0.169,0.0368,0.01,0.0159,0.0082,0.006,0.0123,0.0024,0.0011,0.0197,0.0058,0.002,0.0017,0.002,0.0028,0.0012,0.0035,0.0031,0.00083,0.0011,0.0046,93.9,12.31,0.0034,1,4.26,0,0,1,64.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
4.9,4.5,0.0,0.0,0.0,0.0,2440.0,55.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,1369.0,104.0,0.7599999999999998,0.163,0.0,0.0,0.0329999999999999,42.0,8.0,0.0,0.0,50.0,0.0,3.93,3.12,1.63,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.0191,0.0048,0.308,0.0048,0.0017,0.0152,0.0051,0.0049,0.0017,0.004,0.0039,0.001,0.0016,0.0031,0.00071,0.006,0.0036,93.6,7.51,0.0033,1,3.93,1,0,0,60.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
18.0,16.7,0.0,6560.0,3980.0,0.0,5720.0,316.0,45.0,15.0,0.0,179.0,0.0,0.0,21.0,0.0,0.0,0.0,20.0,1437.0,1370.0,140.0,1.25,0.502,0.0,0.7350000000000001,0.015,41.0,17.0,1330.0,6.0,35.0,0.0,4.28,3.77,1.98,0.217,0.0357,0.0061,0.0375999999999999,0.0089,0.0086,0.0151,0.0025,0.0016,0.021,0.0052,0.002,0.0015,0.0018,0.0026,0.0019,0.0032,0.0031,0.0007,0.0015,0.0024,93.8,12.47,0.0029,1,4.28,0,0,1,67.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
3.5,3.0,0.0,1430.0,570.0,0.0,1600.0,63.0,5.0,0.0,0.0,19.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1471.0,1392.0,54.0,1.09,0.4,0.0,0.7350000000000001,0.0194,40.0,16.0,0.0,0.0,44.0,0.0,4.27,3.74,2.04,0.167,0.0369,0.0095,0.0151,0.0083,0.008,0.0264,0.0026,0.00097,0.0192,0.0045,0.0021,0.0017,0.0019,0.003,0.0014,0.002,0.0031,0.00057,0.00075,0.0029,93.9,10.86,0.0033,1,4.27,0,0,1,79.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
4.8,4.5,0.0,0.0,0.0,0.0,2450.0,42.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,1361.0,91.0,0.7599999999999998,0.15,0.0,0.0,0.0329999999999999,39.0,6.0,0.0,0.0,51.0,0.0,3.93,3.15,1.62,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.026,0.0028,0.349,0.005,0.0016,0.0148,0.0049,0.0049,0.0017,0.004,0.0038,0.0007,0.0019,0.0031,0.00071,0.0037,0.0074,93.5,7.51,0.0033,1,3.93,1,0,0,66.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
5.1,5.0,0.0,70.0,0.0,0.0,2840.0,55.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,1365.0,100.0,0.7599999999999998,0.157,0.0,0.0,0.0329999999999999,39.0,8.0,0.0,0.0,53.0,0.0,3.93,3.09,1.65,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.0154,0.0045,0.35,0.0049,0.0016,0.0168,0.005,0.0049,0.0017,0.0033,0.0037,0.001,0.0016,0.0031,0.00071,0.0035,0.0074,93.6,7.51,0.0033,1,3.93,1,0,0,61.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
4.1,4.1,0.0,1660.0,730.0,0.0,1810.0,68.0,16.0,6.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1430.0,1363.0,101.0,1.02,0.415,0.0,0.7350000000000001,0.019,40.0,17.0,0.0,0.0,43.0,0.0,4.17,3.64,2.06,0.17,0.0352,0.0102,0.0137,0.007,0.0072,0.0499,0.0024,0.0005,0.0177,0.0046,0.0021,0.0016,0.0018,0.0029,0.0013,0.0029,0.0031,0.00086,0.00051,0.0041,93.9,10.24,0.0033,1,4.17,1,0,0,67.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
15.5,14.5,0.0,6045.0,4110.0,0.0,2945.0,170.0,222.0,28.0,0.0,98.0,0.0,0.0,21.0,0.0,0.0,0.0,20.0,1450.0,1381.0,125.0,1.26,0.155,0.0,0.7350000000000001,0.02,39.0,38.0,0.0,0.0,19.0,0.0,4.18,3.18,3.92,0.156,0.0351,0.0059,0.0165,0.0074,0.0124,0.0196,0.0026,0.001,0.0296,0.0046,0.0049,0.0017,0.0032,0.0010999999999999,0.0029,0.002,0.0031,0.00074,0.0015,0.0063,92.5,12.65,0.0033,1,4.18,1,0,0,69.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
6.2,6.2,0.0,2430.0,1430.0,0.0,2340.0,114.0,50.0,4.0,0.0,56.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,1435.0,1369.0,76.0,0.9,0.403,0.0,0.7350000000000001,0.01,39.0,23.0,0.0,0.0,38.0,0.0,4.22,3.66,2.15,0.152,0.0376,0.0078,0.0139,0.0069,0.0094,0.0134,0.0024,0.0012,0.0248,0.0042,0.0017,0.002,0.0015,0.0026,0.0042,0.0031,0.0031,0.00048,0.0012,0.0014,93.9,9.03,0.0035,1,4.22,0,0,1,66.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
6.1,6.1,0.0,2500.0,1230.0,0.0,2020.0,105.0,50.0,6.0,0.0,56.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,1425.0,1357.0,65.0,0.92,0.393,0.0,0.7350000000000001,0.015,41.0,20.0,250.0,4.0,33.0,0.0,4.23,3.66,2.2,0.166,0.0386,0.0086,0.0147,0.0068,0.0099,0.0144,0.002,0.00089,0.0259,0.0049,0.0024,0.0025,0.0019,0.0035,0.002,0.0041,0.0031,0.00061,0.0014,0.0061,93.8,9.18,0.0037,1,4.23,0,0,1,68.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
5.0,4.9,0.0,0.0,0.0,0.0,2500.0,53.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,1358.0,73.0,0.7599999999999998,0.16,0.0,0.0,0.0329999999999999,40.0,10.0,0.0,0.0,50.0,0.0,3.93,3.08,1.66,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.0122,0.0043,0.314,0.0041,0.0026,0.0186,0.0051,0.0048,0.0017,0.0033,0.0034,0.001,0.0019,0.0031,0.00012,0.0049,0.0074,93.6,7.51,0.0033,1,3.93,1,0,0,72.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1
4.1,4.05,0.0,1680.0,830.0,0.0,1550.0,71.0,34.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1437.0,1366.0,68.0,1.02,0.415,0.0,0.7350000000000001,0.023,39.0,19.0,140.0,3.0,36.0,0.0,4.21,3.66,2.11,0.144,0.0356,0.0108,0.0137,0.0071,0.0072,0.0557,0.0021,0.00033,0.0176,0.005,0.0021,0.002,0.0017,0.0031,0.0018,0.0034,0.0031,0.00059,0.00087,0.0046,93.9,10.24,0.0039,1,4.21,0,0,1,71.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1
